advies_element_id,type,case,n_codeurs,codeur_oordelen,meerderheid,consensus,fijn_label
PD-12657,probleemdefinitie,2364__2328,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-15062,aanbeveling,8032__10939,3,procedureel|substantieel|procedureel,procedureel,meerderheid,procedureel_doorgezet
AANB-22107,aanbeveling,1989__1980,3,retorisch|retorisch|niet_behandeld,retorisch,meerderheid,erkend_zonder_actie
PD-14127,probleemdefinitie,10799__10800,3,retorisch|retorisch|afgewezen,retorisch,meerderheid,gerelativeerd
PD-10704,probleemdefinitie,8875__8923,3,afgewezen|afgewezen|afgewezen,afgewezen,unaniem,afgewezen
AANB-19684,aanbeveling,3046__3039,3,substantieel|substantieel|procedureel,substantieel,meerderheid,gedeeltelijk_overgenomen
PD-9594,probleemdefinitie,7589__10989,3,procedureel|procedureel|procedureel,procedureel,unaniem,uitgesteld_voor_later_besluit
PD-12677,probleemdefinitie,2381__2360,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
PD-23282,probleemdefinitie,10792__10793,3,substantieel|substantieel|substantieel,substantieel,unaniem,overgenomen
AANB-14808,aanbeveling,8004__8250,3,afgewezen|afgewezen|procedureel,afgewezen,meerderheid,afgewezen
AANB-12614,aanbeveling,9546__9513,3,retorisch|retorisch|retorisch,retorisch,unaniem,erkend_zonder_actie
AANB-24357,aanbeveling,8990__8998,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-16639,aanbeveling,10828__10829,3,substantieel|substantieel|substantieel,substantieel,unaniem,overgenomen
PD-22949,probleemdefinitie,220__10918,3,procedureel|procedureel|procedureel,procedureel,unaniem,uitgesteld_voor_later_besluit
AANB-24210,aanbeveling,6526__6519,3,substantieel|substantieel|substantieel,substantieel,unaniem,overgenomen
AANB-4307,aanbeveling,1669__1652,3,retorisch|retorisch|retorisch,retorisch,unaniem,gekoppeld_aan_bestaand_beleid
PD-12670,probleemdefinitie,2381__2360,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-19411,aanbeveling,2921__2848,3,substantieel|procedureel|procedureel,procedureel,meerderheid,procedureel_doorgezet
PD-2164,probleemdefinitie,10804__10805,3,niet_behandeld|procedureel|niet_behandeld,niet_behandeld,meerderheid,niet_herkenbaar_verwerkt
AANB-18901,aanbeveling,2579__2566,3,afgewezen|afgewezen|afgewezen,afgewezen,unaniem,afgewezen
AANB-16903,aanbeveling,10850__10851,3,niet_behandeld|niet_behandeld|niet_behandeld,niet_behandeld,unaniem,niet_herkenbaar_verwerkt
PD-14174,probleemdefinitie,1574__1547,3,retorisch|retorisch|retorisch,retorisch,unaniem,gekoppeld_aan_bestaand_beleid
AANB-25219,aanbeveling,8013__8281,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-3439,aanbeveling,2029__2014,3,retorisch|niet_behandeld|niet_behandeld,niet_behandeld,meerderheid,niet_herkenbaar_verwerkt
AANB-7035,aanbeveling,10264__10961,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
