advies,candidate,status,verdict,confidence,is_needle,accept_primary,accept_strict
Adviescollege_Meten_en_Berekenen_Stikstof_001,kst-35334-132,success,valid_response_match,1.0,True,True,True
Adviescollege_Meten_en_Berekenen_Stikstof_001,kst-35334-Y,success,valid_response_match,1.0,True,True,True
Adviescollege_Meten_en_Berekenen_Stikstof_001,kv-tk-2021Z13947,success,not_response_document,1.0,False,False,False
Adviescollege_Meten_en_Berekenen_Stikstof_001,ah-tk-20212022-3227,success,response_to_other_advice,1.0,False,False,False
Adviescollege_Meten_en_Berekenen_Stikstof_001,ah-tk-20202021-3998,success,not_response_document,1.0,False,False,False
Adviescollege_Meten_en_Berekenen_Stikstof_001,kst-35334-AG,success,response_to_other_advice,1.0,False,False,False
Adviescollege_Nederlandse_Gebarentaal_001,kst-31293-833,success,not_response_document,0.98,False,False,False
Adviescollege_Nederlandse_Gebarentaal_001,blg-1196110,success,not_response_document,1.0,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_186,kst-32802-104,success,response_to_other_advice,0.98,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_186,kst-29362-373,success,valid_response_match,1.0,True,True,True
Adviescollege_Nederlandse_Gebarentaal_001,blg-1211255,success,not_response_document,1.0,False,False,False
Adviescollege_Meten_en_Berekenen_Stikstof_001,kst-35334-158,success,response_to_other_advice,0.98,False,False,False
Adviescollege_Nederlandse_Gebarentaal_001,blg-1196109,success,not_response_document,1.0,False,False,False
Adviescollege_Nederlandse_Gebarentaal_001,blg-1116740,success,not_response_document,0.95,False,False,False
Adviescollege_Nederlandse_Gebarentaal_001,kst-36410-VII-79,success,response_to_other_advice,0.95,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_186,kst-22861-48,success,response_to_other_advice,1.0,False,False,False
Adviescollege_Nederlandse_Gebarentaal_001,stcrt-2025-43170,success,not_response_document,1.0,False,False,False
Adviescollege_Nederlandse_Gebarentaal_001,kst-32820-539,success,valid_response_match,1.0,True,True,True
Adviescollege_Openbaarheid_en_Informatiehuishouding_186,kst-32802-131,success,response_to_other_advice,1.0,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_186,ah-tk-20232024-1782,success,response_to_other_advice,1.0,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_186,kst-22861-51,success,response_to_other_advice,1.0,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_186,blg-1166175,success,response_to_other_advice,1.0,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_186,kst-22861-46,success,not_response_document,1.0,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_200,kst-22861-46,success,not_response_document,1.0,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_200,kv-tk-2024Z07367,success,not_response_document,1.0,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_200,kv-tk-2024Z16044,success,not_response_document,1.0,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_200,kst-32802-104,success,response_to_other_advice,0.95,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_200,ah-tk-20242025-327,success,response_to_other_advice,1.0,False,False,False
Adviescollege_Openbaarheid_en_Informatiehuishouding_200,blg-1189245,success,response_to_other_advice,0.95,False,False,False
Adviescollege_dialooggroep_slavernijverleden_001,kst-35925-VII-167,success,not_response_document,1.0,False,False,False
Adviescollege_Stikstofproblematiek_001,kst-35334-121,success,not_response_document,1.0,False,False,False
Adviescollege_Stikstofproblematiek_001,kst-35334-130,success,not_response_document,1.0,False,False,False
Adviescollege_dialooggroep_slavernijverleden_001,kst-35570-VII-106,success,not_response_document,0.98,False,False,False
Adviescollege_dialooggroep_slavernijverleden_001,kv-tk-2021Z19293,success,not_response_document,1.0,False,False,False
Adviescollege_dialooggroep_slavernijverleden_001,ah-tk-20212022-907,success,not_response_document,1.0,False,False,False
Adviescollege_dialooggroep_slavernijverleden_001,blg-1067550,success,not_response_document,1.0,False,False,False
