case,advies_element_id,coarse_truth,ai_label,ai_coarse,coarse_klopt,fijn_truth,fijn_klopt
2364__2328,PD-12657,substantieel,gedeeltelijk_overgenomen,substantieel,ja,gedeeltelijk_overgenomen,ja
8032__10939,AANB-15062,procedureel,onduidelijk,ambigu,nee,procedureel_doorgezet,nee
1989__1980,AANB-22107,retorisch,uitgesteld_voor_later_besluit,procedureel,nee,erkend_zonder_actie,nee
10799__10800,PD-14127,retorisch,uitgesteld_voor_later_besluit,procedureel,nee,gerelativeerd,nee
8875__8923,PD-10704,afgewezen,afgewezen,afgewezen,ja,afgewezen,ja
3046__3039,AANB-19684,substantieel,erkend_zonder_actie,retorisch,nee,gedeeltelijk_overgenomen,nee
7589__10989,PD-9594,procedureel,uitgesteld_voor_later_besluit,procedureel,ja,uitgesteld_voor_later_besluit,ja
2381__2360,PD-12677,substantieel,gedeeltelijk_overgenomen,substantieel,ja,gedeeltelijk_overgenomen,ja
10792__10793,PD-23282,substantieel,overgenomen,substantieel,ja,overgenomen,ja
8004__8250,AANB-14808,afgewezen,gerelativeerd,retorisch,nee,afgewezen,nee
9546__9513,AANB-12614,retorisch,erkend_zonder_actie,retorisch,ja,erkend_zonder_actie,ja
8990__8998,AANB-24357,substantieel,gerelativeerd,retorisch,nee,gedeeltelijk_overgenomen,nee
10828__10829,AANB-16639,substantieel,overgenomen,substantieel,ja,overgenomen,ja
220__10918,PD-22949,procedureel,uitgesteld_voor_later_besluit,procedureel,ja,uitgesteld_voor_later_besluit,ja
6526__6519,AANB-24210,substantieel,gedeeltelijk_overgenomen,substantieel,ja,overgenomen,nee
1669__1652,AANB-4307,retorisch,gekoppeld_aan_bestaand_beleid,retorisch,ja,gekoppeld_aan_bestaand_beleid,ja
2381__2360,PD-12670,substantieel,overgenomen,substantieel,ja,gedeeltelijk_overgenomen,nee
2921__2848,AANB-19411,procedureel,gedeeltelijk_overgenomen,substantieel,nee,procedureel_doorgezet,nee
10804__10805,PD-2164,niet_behandeld,procedureel_doorgezet,procedureel,nee,niet_herkenbaar_verwerkt,nee
