deelvraag,bronpad,key,value,peildatum,toelichting
DV2,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/_manifest.json,peildatum,2026-06-05,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/_manifest.json,scope,corpus_keuzes,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/_manifest.json,beschrijving,"171 Kaderwet-colleges (permanent/tijdelijk/eenmalig) via pipeline.v_usable_advies_* + corpus.adviesdocumenten + register.adviescollege_fasen (CTE, Kaderwet=TRUE + instellingsbesluit + tijd_adviescollege filter), exclude ACOI/CBPD; Nederlands alleen.",2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/_manifest.json,rij_aantallen.df_docs,1374,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/_manifest.json,rij_aantallen.df_aanbevelingen,22286,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/_manifest.json,rij_aantallen.df_problemen,17927,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/02b_kabinetsreactie_171_frozen_20260605/_manifest.json,peildatum,2026-06-05,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/02b_kabinetsreactie_171_frozen_20260605/_manifest.json,scope,corpus_keuzes/171,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,peildatum,2026-06-05,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,scope,corpus_keuzes/171,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,beschrijving,"Niveau-2 DV2-cijfers: live/notebook-berekend, hier read-only bevroren met dezelfde functies.",2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_accuratesse.canonical.classification_matches,80,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
