advies_id,adviescollege_id,college,title,date_published,n_official_candidates,best_jaccard,best_candidate_id,best_rank,best_route,best_llm_label,hit_text,best_title_ratio,title_fallback_candidate_id,title_fallback_rank,title_fallback_date_diff,hit_title,hit
9662,15,Raad voor het Openbaar Bestuur,Autonoom of automaat?,2005-08-01,141,0.0339,kst-30300-VII-11,81,title_route,,False,34.5,blg-571351,17,3678,False,False
9650,15,Raad voor het Openbaar Bestuur,Advies Commissaris van de Koningin als rijksorgaan,2006-03-01,141,0.0046,kst-27425-1,77,title_route,,False,42.9,blg-269782,34,3037,False,False
9588,15,Raad voor het Openbaar Bestuur,Besturen over grenzen,2008-05-14,141,0.0045,kst-31200-VII-9-b1,66,title_route,,False,44.8,blg-861730,21,3834,False,False
9373,15,Raad voor het Openbaar Bestuur,Vertrouwen op democratie,2010-02-01,141,0.0207,blg-746152,3,attachment_promotion,FINAL_ADVICE_OR_REPORT,False,70.3,kst-26806-4,73,3419,False,False
9470,15,Raad voor het Openbaar Bestuur,Kansen en risico's van sociale media in de representatieve democratie,2012-04-01,141,0.0025,blg-746152,3,attachment_promotion,FINAL_ADVICE_OR_REPORT,False,52.2,blg-408911,11,960,False,False
9379,15,Raad voor het Openbaar Bestuur,Hoe hoort het eigenlijk?,2014-06-01,141,0.0224,kst-34300-VII-60,120,title_route,,False,90.9,kst-34300-VII-60,120,652,False,False
9310,15,Raad voor het Openbaar Bestuur,De bestuurlijke verantwoordelijkheid voor systemen,2016-11-01,141,0.0294,blg-746152,3,attachment_promotion,FINAL_ADVICE_OR_REPORT,False,66.7,kst-26806-4,73,5884,False,False
9225,15,Raad voor het Openbaar Bestuur,"Jong geleerd, oud gedaan",2019-06-01,141,0.0164,blg-1204154,5,attachment_promotion,FINAL_ADVICE_OR_REPORT,False,36.1,blg-269782,34,1803,False,False
9178,15,Raad voor het Openbaar Bestuur,Van Parijs naar Praktijk,2021-01-01,141,0.0136,blg-1204154,5,attachment_promotion,FINAL_ADVICE_OR_REPORT,False,36.1,blg-571351,17,1954,False,False
9132,15,Raad voor het Openbaar Bestuur,Di krísis pa enkargo,2022-03-01,141,0.0251,blg-1204154,5,attachment_promotion,FINAL_ADVICE_OR_REPORT,False,31.6,blg-799242,64,1841,False,False
